std.pitch4,d_var4,v_var4
63.0,0.000396441,5.76
75.0,0.0011017361,0.96
55.0,2.5e-05,2.56
84.0,0.0826608314,22.8888888889
64.0,0.0002150849,611.5555555556
60.0,1.0851e-06,1.0
55.0,6.84028e-05,47.84
64.0,4.40104e-05,9.76
60.0,4.35764e-05,18.16
48.0,0.0012945312,22.96
71.0,0.0012481011,9.0
83.0,0.0015502251,10.25
81.0,5.45247e-05,23.1875
59.0,5.61632e-05,44.4
60.0,1.66667e-05,11.04
69.0,4.35764e-05,52.56
64.0,2.46175e-05,15.1875
57.0,8.35937e-05,32.64
80.0,0.0001060764,9.6
68.0,0.0002000868,7.6
69.0,1.66667e-05,3.6
81.0,6.36285e-05,26.0
64.0,2.10069e-05,12.24
60.0,1.66667e-05,43.76
75.0,0.0014519965,2.0
83.0,0.0021839735,18.6875
71.0,0.003008355,35.1875
47.0,0.0027627903,18.0
59.0,1.97347e-05,5.25
55.0,0.0041442708,14.0
64.0,0.0052157118,45.84
76.0,0.0057267361,24.56
52.0,3.31597e-05,7.76
66.0,0.004578125,7.36
78.0,0.000383233,0.75
63.0,2.604e-07,10.96
47.0,0.0002991401,136.6875
45.0,1.44965e-05,2.24
71.0,0.0009815972,1.36
59.0,0.0037862847,20.96
43.0,0.0001347222,4.16
42.0,0.0001261285,1.36
40.0,0.0006303819,5.36
76.0,0.0007844618,8.64
64.0,0.000594184,10.64
,,
52.0,0.0878375,28.4
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
40.0,0.0795818576,22.64
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
76.0,0.0997137153,14.24
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
64.0,0.0924117188,142.8
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
55.0,1.71007e-05,29.44
,,
,,
,,
59.0,8.75289e-05,97.5555555556
76.0,0.0851499132,4.56
55.0,1.0417e-06,28.24
59.0,3.00429e-05,63.6875
55.0,0.0001647569,55.76
59.0,6.05035e-05,71.36
75.0,1.31944e-05,5.04
63.0,2.36111e-05,32.96
40.0,0.0772524306,1.36
64.0,0.0735597222,1.84
52.0,0.0764420139,36.24
76.0,0.084087066,11.44
64.0,0.1265704861,38.0
59.0,3.99306e-05,11.84
55.0,8.31597e-05,434.0
59.0,3.53299e-05,34.8
55.0,0.000103559,27.76
59.0,4.44444e-05,106.24
55.0,6.40625e-05,26.0
78.0,0.0003784722,4.24
66.0,1.6879e-06,18.0
52.0,0.0065605035,20.8
67.0,0.000687066,37.6
40.0,0.1272420139,18.16
79.0,0.0075717882,90.16
55.0,0.0001115451,18.56
59.0,8.27257e-05,6.64
82.0,0.0012862847,10.56
70.0,2.19048e-05,345.5
52.0,0.0033361979,17.2
71.0,0.0001442708,5.04
83.0,0.0071099826,9.76
59.0,1.10243e-05,1.44
55.0,8.61111e-05,6.24
52.0,0.0838802083,4.24
87.0,0.0015926215,7.04
75.0,2.92535e-05,24.64
52.0,0.0698074653,13.36
88.0,0.0202788194,1.76
76.0,0.0987226563,14.8
64.0,2.035e-07,22.25
67.0,2.222202853e-21,4.6666666667
59.0,0.0001393229,29.04
67.0,2.40451e-05,6.96
64.0,2.604e-07,12.4
59.0,8.48389e-05,55.5
45.0,0.0019142659,34.0
74.0,0.0004212104,3.5
86.0,0.0034238715,22.96
64.0,0.0001348199,25.5
67.0,7.45985e-05,22.5
85.0,3.05854e-05,11.6875
73.0,2.02257e-05,461.2
83.0,0.000180816,10.16
71.0,2.516e-05,5.1875
45.0,0.0001550444,1.5555555556
55.0,3.28234e-05,100.0
85.0,6.36285e-05,64.4
67.0,0.0001440972,21.76
64.0,6.35417e-05,22.16
73.0,1.86632e-05,14.56
74.0,0.0051017361,6.16
50.0,0.0041309028,86.24
86.0,0.0001556424,45.04
62.0,2.19727e-05,144.0
65.0,0.0,0.0
69.0,7.8559e-05,25.2
55.0,3.0816e-05,347.76
81.0,0.0004092882,5.44
57.0,0.0071889757,20.4
62.0,6.8316e-05,3.84
65.0,6.076e-07,191.44
83.0,0.0,0.0
43.0,2.5434e-05,0.96
84.0,0.0,0.0
83.0,0.0001750868,42.64
65.0,1.44965e-05,5.04
62.0,2.02257e-05,8.96
59.0,2.516e-05,27.5
84.0,7.99561e-05,11.5
83.0,0.0001837674,716.8
55.0,0.0001594618,6.24
84.0,0.0002592882,37.36
65.0,2.32639e-05,48.16
62.0,0.0023743056,100.56
81.0,0.0014641493,113.44
83.0,0.0006208333,59.2
72.0,0.099176161,528.75
48.0,0.1219355035,12.24
