std.pitch6,d_var6,v_var6
56.0,0.004165625,2.16
49.0,0.0017389757,38.8
64.0,0.0013315972,60.64
64.0,0.0003917101,1.0
56.0,0.0294259549,9.36
61.0,0.0194342014,72.24
64.0,0.001868316,46.0
69.0,0.0005518229,24.24
57.0,0.0028062608,57.6875
30.0,0.0025422743,14.24
42.0,0.0023738715,70.64
61.0,0.0057885064,73.6875
66.0,0.0046552192,0.25
56.0,0.0009911458,7.6
57.0,0.0093473958,14.96
61.0,0.038024566,4.16
66.0,0.0735079861,71.04
68.0,0.2298929687,33.36
56.0,0.2418491995,0.6666666667
35.0,0.2769195312,90.96
47.0,0.0009905478,24.6666666667
59.0,0.0013674588,1.0
64.0,3.90625e-05,16.0
56.0,0.0221783854,10.24
61.0,0.0006287326,6.8
59.0,0.0015247396,32.56
64.0,0.0013382812,12.24
66.0,0.0014207465,9.6
47.0,0.0018787977,25.25
57.0,0.4268283854,19.84
35.0,0.5620499132,8.64
59.0,0.0336342882,4.96
63.0,2.53472e-05,72.56
71.0,0.0004608154,2.6875
57.0,0.0012172743,136.8
64.0,0.001474566,11.44
59.0,0.0037653646,33.04
63.0,0.0005152874,29.5555555556
40.0,0.0244140625,25.0
56.0,0.1515202257,9.44
64.0,0.1332806424,26.8
52.0,0.1428278646,51.84
,,
,,
,,
,,
47.0,0.0023596354,40.56
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
35.0,1.5554644096,24.64
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
56.0,1.4258396702,42.24
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
61.0,0.0003873264,3.44
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
64.0,0.0086725694,31.04
,,
,,
,,
56.0,0.0014095486,26.64
37.0,0.0078113715,5.84
61.0,0.0016517361,2.0
64.0,0.0102407118,50.56
56.0,0.0007831597,19.44
61.0,0.0003149306,24.4
64.0,0.0047100694,67.44
56.0,0.0023153646,10.4
61.0,0.0069116319,29.2
64.0,0.0143382812,89.36
57.0,0.0015525174,4.24
45.0,0.0149710938,13.76
61.0,0.0005826389,40.64
33.0,0.0128791667,18.64
61.0,0.0051944309,2.25
64.0,0.0016191949,52.6875
57.0,0.0013965278,6.4
61.0,0.0028796007,44.24
64.0,0.0085749132,18.64
57.0,0.2790045139,9.44
42.0,0.2199546007,30.8
30.0,0.170102691,42.56
62.0,3.56867e-05,40.6666666667
64.0,0.0024607639,8.24
66.0,0.0011834491,42.8888888889
57.0,0.0017641493,5.44
62.0,0.0024802083,16.8
66.0,0.0069072917,54.4
56.0,0.0029792616,6.75
32.0,0.0040123264,32.8
44.0,0.0021586806,28.24
60.0,0.0018014757,87.04
66.0,0.0008559028,8.56
56.0,0.0029175347,16.56
56.0,0.000912934,22.16
61.0,0.0009435282,8.6666666667
64.0,0.0048322917,22.24
44.0,0.2629194444,12.56
32.0,0.0311105035,30.56
56.0,0.1327907986,13.36
61.0,0.0051508681,5.36
63.0,9.93441e-05,12.6666666667
54.0,0.0029755208,9.2
60.0,0.0009833333,11.04
63.0,0.1113797743,4.24
61.0,0.000241059,14.16
52.0,2.8010692709,45.04
44.0,1.8338046876,79.44
37.0,0.0278112944,5.5555555556
49.0,1.9399059896,48.64
56.0,0.0004390914,1.5555555556
61.0,0.0003742284,16.6666666667
56.0,0.0144099826,13.2
61.0,0.0550970486,42.8
64.0,0.0003619309,0.8888888889
56.0,0.0017223958,52.64
64.0,0.001540625,21.84
61.0,0.0377375868,42.64
64.0,0.0332256944,151.44
56.0,0.0013392361,160.8
68.0,0.1343157986,98.16
61.0,0.0004716146,21.36
64.0,0.0001295139,56.64
68.0,1.9894768229,31.36
56.0,1.6936145834,55.84
68.0,0.1668086902,300.2222222222
36.0,0.1131764757,257.84
56.0,0.0004021701,9.84
48.0,1.5888639757,96.4
44.0,2.0288774957,105.25
63.0,0.0004890046,11.5555555556
66.0,0.0039817226,16.6666666667
56.0,0.002422621,6.6875
63.0,0.0021679688,7.36
66.0,0.0004480903,10.24
56.0,0.0002176215,8.56
63.0,0.0350536458,53.44
66.0,0.0546280382,68.24
61.0,0.002165191,10.56
56.0,0.0033674479,25.44
68.0,0.0875983507,23.84
63.0,0.0018790799,127.76
66.0,8.40929e-05,9.5
68.0,0.3369466146,5.36
68.0,0.3504269748,90.6875
56.0,0.1141790799,236.24
49.0,0.1834885416,126.4
37.0,0.0734507812,145.04
61.0,0.0021993152,38.8888888889
