pitch,vel,dur,db(lab),db(audi),duration(lab),duration(audi),db(lab) - db(audi),dur(lab) - dur(audi)
23,1,0.3,57.96686,58.73312,0.38,0.11,-0.76626,0.27
24,1,0.3,60.642597,58.394234,0.4,0.2,2.248363,0.2
25,1,0.3,60.2316,54.940903,0.48,0.11,5.290697,0.37
26,1,0.3,55.32125,54.414474,0.19,0.13,0.906776,0.06
27,1,0.3,58.06861,57.72741,0.41,0.12,0.3412,0.29
28,1,0.3,60.297153,59.084984,0.39,0.12,1.212169,0.27
29,1,0.3,59.667866,44.86855,0.39,0.11,14.799316,0.28
30,1,0.3,57.61075,56.744984,0.28,0.12,0.865766,0.16
31,1,0.3,61.22078,60.510612,0.47,0.32,0.710168,0.15
32,1,0.3,60.612934,58.511017,0.37,0.11,2.101917,0.26
33,1,0.3,59.764572,53.34492,0.37,0.11,6.419652,0.26
34,1,0.3,62.68229,56.613865,0.39,0.17,6.068425,0.22
35,1,0.3,58.383293,58.60057,0.41,0.33,-0.217277,0.08
36,1,0.3,58.62659,38.97067,0.35,0.11,19.65592,0.24
37,1,0.3,57.52774,58.11058,0.13,0.34,-0.58284,-0.21
38,1,0.3,53.96302,54.5551,0.13,0.14,-0.59208,-0.01
39,1,0.3,57.033493,55.254078,0.38,0.21,1.779415,0.17
40,1,0.3,62.414238,54.297943,0.41,0.13,8.116295,0.28
41,1,0.3,58.61715,49.146904,0.38,0.11,9.470246,0.27
42,1,0.3,56.125782,55.85967,0.4,0.32,0.266112,0.08
43,1,0.3,60.000717,51.954678,0.4,0.12,8.046039,0.28
44,1,0.3,58.477592,56.87008,0.37,0.35,1.607512,0.02
45,1,0.3,58.970337,52.734146,0.37,0.11,6.236191,0.26
46,1,0.3,56.97379,50.9273,0.31,0.11,6.04649,0.2
47,1,0.3,58.054302,55.66993,0.42,0.31,2.384372,0.11
48,1,0.3,57.52733,58.7315,0.35,0.34,-1.20417,0.01
49,1,0.3,58.22718,51.197655,0.39,0.12,7.029525,0.27
50,1,0.3,57.850216,59.74487,0.32,0.34,-1.894654,-0.02
51,1,0.3,65.35866,58.64427,0.45,0.33,6.71439,0.12
52,1,0.3,67.67425,59.959286,0.4,0.32,7.714964,0.08
53,1,0.3,68.69303,54.026596,0.41,0.31,14.666434,0.1
54,1,0.3,64.12873,58.341827,0.41,0.34,5.786903,0.07
55,1,0.3,68.15655,57.094906,0.41,0.33,11.061644,0.08
56,1,0.3,62.624046,58.217087,0.38,0.33,4.406959,0.05
57,1,0.3,61.188065,58.641342,0.39,0.32,2.546723,0.07
58,1,0.3,55.819435,56.863102,0.4,0.33,-1.043667,0.07
59,1,0.3,55.79084,55.347267,0.4,0.32,0.443573,0.08
60,1,0.3,53.977043,58.065403,0.2,0.23,-4.08836,-0.03
61,1,0.3,59.92889,54.1772,0.35,0.29,5.75169,0.06
62,1,0.3,60.414032,54.63292,0.46,0.3,5.781112,0.16
63,1,0.3,62.3556,46.537186,0.44,0.11,15.818414,0.33
64,1,0.3,62.947273,49.877132,0.42,0.11,13.070141,0.31
65,1,0.3,60.042633,48.84738,0.39,0.11,11.195253,0.28
66,1,0.3,54.51023,50.100765,0.21,0.11,4.409465,0.1
