std.pitch3,d_var3,v_var3
65,0.0020349826,10.16
53,0.0006028646,57.44
60,0.0003211806,38.96
77,2.10938e-05,2.96
65,0.0002521701,291.44
57,6.2066e-05,17.2
77,0.0331235243,2.96
57,0.0003110243,6.56
77,0.0001159819,17.5555555556
65,0.0001549479,7.76
76,0.0001274306,9.04
79,0.0002627604,2.16
67,0.000224566,90.56
63,0.0004182292,10.96
60,1.73611e-05,5.36
79,0.0001440972,23.44
60,0.0001070313,10.8
76,2.1441e-05,51.44
67,1.35634e-05,1.5
60,2.10938e-05,34.64
67,0.0292559028,15.44
76,0.0354932292,17.04
79,6.63927e-05,15.25
79,0.0001677083,1.36
60,0.0001104167,106.16
67,0.000110338,20.75
76,0.031896441,56.24
60,0.0001341146,50.56
81,0.0007810764,33.76
65,0.0006427951,54.16
69,0.0142063368,49.44
77,0.0005263021,14.96
84,0.0001733507,10.16
72,0.0004217014,5.36
69,0.0039824761,101.5
63,0.0005205729,12.4
86,0.0005315104,73.04
84,7.31771e-05,8.96
67,0.0002784722,75.2
70,0.0001367187,10.8
82,8.46354e-05,23.04
65,0.0002625868,26.25
69,0.0001144097,69.44
81,8.04688e-05,7.76
65,0.0096938368,86.96
69,0.0014959717,24.25
69,0.0158100695,6.64
81,0.0007802083,5.2
65,0.0080648438,28.96
69,0.000728285,11.5
81,0.0009822049,165.76
82,0.0001831597,45.36
81,2.19727e-05,30.25
79,6.31076e-05,9.44
67,7.26562e-05,6.8
60,7.75174e-05,19.84
65,5.33854e-05,15.36
60,2.28299e-05,14.64
77,0.0006139757,7.04
57,5.97222e-05,6.4
57,6.22396e-05,34.24
65,7.26563e-05,27.2
77,0.0002802083,5.2
57,0.0001086806,7.04
65,8.95182e-05,5.6875
77,3.20698e-05,0.2222222222
60,0.0008891493,42.64
67,0.0002094618,39.44
70,0.0003278646,7.36
79,4.7404e-05,12.25
82,6.65799e-05,20.8
76,3.93338e-05,37.1875
67,0.0004360243,4.24
60,0.0007308546,110.8888888889
70,0.000303559,3.04
69,0.0001607639,36.56
65,0.001437934,14.8
77,0.0098013889,11.76
70,0.0011265055,36.25
53,0.0027829861,4.24
60,0.0016086155,23.5
64,0.0031640625,42.25
84,0.0,0.0
69,0.0013842882,9.44
65,0.0022624132,15.76
77,0.0001439525,14.8888888889
58,6.88368e-05,8.0
52,0.0014091435,5.5555555556
48,0.001347174,12.6666666667
72,2.19727e-05,196.0
58,0.0001898437,5.84
53,0.0004177951,24.56
65,0.0007094618,12.64
57,0.0002793403,14.64
62,0.0033777778,3.84
57,9.44444e-05,14.16
58,1.3563e-06,8.25
62,0.0016267361,9.36
79,5.97222e-05,2.96
58,0.000416059,11.2
77,0.0001105035,7.76
53,0.00105625,82.16
55,0.0005780029,0.25
76,0.0001571181,18.96
58,0.0017105035,43.04
76,0.0009097222,22.96
60,0.0001586806,12.16
55,0.0001585937,3.2
58,0.0048235243,49.2
55,0.0045707465,13.36
53,0.0002650174,5.36
57,0.0007237847,9.04
77,6.35417e-05,124.0
69,2.83854e-05,14.16
74,7.79514e-05,19.36
67,5.70312e-05,10.24
72,0.0016707465,41.76
57,0.0002358507,3.76
69,0.0001108507,20.16
53,0.0004849826,32.24
65,0.00015625,2.0
45,0.0004459201,18.16
50,0.000212934,13.84
43,0.0002000868,10.24
67,0.000583941,4.24
65,3.06424e-05,10.16
48,0.0002267361,21.76
64,0.0018048611,4.64
69,0.0002131076,1.04
65,0.0004733507,340.24
64,0.0003383681,242.96
62,0.0014091146,31.76
64,0.002641059,173.36
45,8.40278e-05,8.56
69,0.0004884549,5.84
65,0.0244855035,4.16
41,4.48785e-05,4.24
50,0.00024375,6.0
70,7.35243e-05,4.56
60,0.000647309,4.64
74,0.00018125,16.24
46,0.0003722222,24.64
65,,
45,0.0002949653,5.44
74,0.0006634549,31.44
72,0.0004337674,15.76
70,0.0002246528,2.16
69,7.69965e-05,11.6
50,4.34e-07,8.56
67,4.97396e-05,5.76
57,0.0001374132,20.16
65,0.0002094618,11.76
46,0.0007177083,39.04
67,0.0002341146,12.64
70,0.000162066,26.64
64,7.87326e-05,15.36
58,2.92535e-05,24.8
48,8.27257e-05,31.44
57,0.0002912326,8.56
41,0.0006263021,18.0
65,0.0006934028,7.6
72,0.0018226563,6.16
72,0.0009882812,14.8
69,0.0065787326,54.16
84,0.0,0.0
67,7.31771e-05,13.04
70,0.0005915799,29.76
82,0.0001228299,3.36
65,0.0001204861,38.8
81,4.40972e-05,3.76
69,0.0002211806,117.36
65,6.55382e-05,7.36
53,0.0019020833,85.36
81,0.0284605035,7.76
69,0.0044902208,28.6875
69,0.0062224826,40.24
81,0.01861891,5.1875
65,0.0062376736,92.0
79,6.79687e-05,6.0
67,0.0004314236,12.16
60,0.0002263021,36.16
65,0.0001130883,118.2222222222
57,0.0001920139,14.64
